"key","Season","Tm","G","W","L","W/L%","MOV","SOS","SRS","Pace","ORtg","DRtg","eFG%","TOV%","ORB%","FT/FGA","eFG%","TOV%","ORB%","FT/FGA","playoffs","champs","FG","FGA","2P","2PA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","OPP.FG","OPP.FGA","OPP.2P","OPP.2PA","OPP.3P","OPP.3PA","OPP.FT","OPP.FTA","OPP.ORB","OPP.DRB","OPP.TRB","OPP.AST","OPP.STL","OPP.BLK","OPP.TOV","OPP.PF","OPP.PTS"
"WAS.2018-19","2018-19","WAS",82,32,50,0.39,-2.9,-0.4,-3.3,101.4,111.1,113.9,0.531,12.3,21.3,0.204,0.546,13.5,25.9,0.199,FALSE,FALSE,42.1,90.1,30.8,56.8,11.3,33.3,18.4,23.9,9.7,32.7,42.4,26.3,8.3,4.6,14.1,20.7,114,43.4,90.5,31.3,57.7,12.1,32.8,18,23.1,11.4,35.8,47.3,26.2,7.7,4.6,15.8,21.2,116.9
"UTA.2018-19","2018-19","UTA",82,50,32,0.61,5.26,0.03,5.28,100.3,110.9,105.7,0.538,13.4,22.9,0.217,0.507,12.4,19.7,0.189,TRUE,FALSE,40.4,86.4,28.3,52.4,12.1,34,18.8,25.5,10,36.4,46.4,26,8.1,5.9,15.1,21.1,111.7,40,88.5,30.1,60.7,9.8,27.7,16.7,22.2,8.9,33.7,42.6,21.6,8.5,4.6,13.9,22.4,106.5
"TOR.2018-19","2018-19","TOR",82,58,24,0.707,6.09,-0.6,5.49,100.2,113.1,107.1,0.543,12.4,21.9,0.198,0.509,13.1,22.9,0.19,TRUE,TRUE,42.2,89.1,29.8,55.3,12.4,33.8,17.7,22,9.6,35.6,45.2,25.4,8.3,5.3,14,21,114.4,40.3,89.7,29.5,58.5,10.8,31.2,17.1,22.3,10.6,34.2,44.8,24.5,7.6,4.5,14.9,20.5,108.4
"SAS.2018-19","2018-19","SAS",82,48,34,0.585,1.68,0.12,1.8,98.3,112.9,111.2,0.534,11,21,0.194,0.528,11,20.6,0.17,TRUE,FALSE,42.3,88.4,32.4,63.1,9.9,25.3,17.2,21,9.2,35.5,44.7,24.5,6.1,4.7,12.1,18.1,111.7,41.5,89.7,29.8,57,11.7,32.7,15.2,20.2,9.2,34.7,43.9,24.7,7.2,4,12.2,19.6,110
"SAC.2018-19","2018-19","SAC",82,39,43,0.476,-1.12,0.31,-0.81,103.1,110.4,111.5,0.524,11.5,23.1,0.177,0.533,13.6,24.5,0.207,FALSE,FALSE,43.2,93.1,31.9,63.2,11.3,29.9,16.5,22.7,11,34.4,45.4,25.4,8.3,4.4,13.4,21.4,114.2,42.3,90.6,30.2,56,12,34.6,18.8,24.4,11.2,36.8,48,24.7,7.5,5.1,15.9,21.4,115.3
"POR.2018-19","2018-19","POR",82,53,29,0.646,4.2,0.24,4.43,99.1,114.7,110.5,0.528,12.1,26.6,0.21,0.516,11,22.1,0.195,TRUE,FALSE,42.3,90.6,31.3,59.8,11,30.7,19,23.3,11.8,36.2,48,23,6.7,5,13.8,20.4,114.7,41.1,90,30.4,60.3,10.7,29.8,17.5,22.8,10.3,32.6,42.8,23.2,7.4,5.1,12.4,20.7,110.5
"PHO.2018-19","2018-19","PHO",82,19,63,0.232,-9.34,0.73,-8.61,100.5,105.9,115.1,0.514,13.8,20.5,0.202,0.545,13.5,27.5,0.236,FALSE,FALSE,40.1,87.4,30.5,58.1,9.6,29.3,17.6,22.7,9.1,31.3,40.4,23.9,9,5.1,15.6,23.6,107.5,42.5,88.2,31.3,58.2,11.1,29.9,20.8,27.6,11.8,35.3,47.2,25.9,9,5,15.7,20.7,116.8
"PHI.2018-19","2018-19","PHI",82,51,31,0.622,2.7,-0.44,2.25,101.6,112.6,110,0.532,12.9,24.5,0.241,0.512,11.1,21.4,0.206,TRUE,FALSE,41.5,88.2,30.7,58,10.8,30.2,21.2,27.5,10.9,36.9,47.8,26.9,7.4,5.3,14.9,21.3,115.2,41.7,91.5,31.4,61.5,10.3,30,18.8,24.5,10,33.5,43.5,23.4,7.7,4.1,12.7,22.1,112.5
"ORL.2018-19","2018-19","ORL",82,42,40,0.512,0.71,-0.43,0.28,98.1,108.9,108.1,0.518,11.9,22,0.168,0.515,11.8,20.3,0.186,TRUE,FALSE,40.4,89.1,29,57,11.4,32.1,15,19.2,10,35.4,45.4,25.5,6.6,5.4,13.2,18.6,107.3,39.9,87.6,29.5,57.4,10.5,30.2,16.3,20.9,9,35.6,44.6,23.1,7,4.4,13,18.7,106.6
"OKC.2018-19","2018-19","OKC",82,49,33,0.598,3.4,0.15,3.56,102.8,110.3,107,0.514,11.7,26,0.19,0.523,14.4,21.8,0.206,TRUE,FALSE,42.6,94,31.3,61.3,11.4,32.6,17.8,25,12.6,35.5,48.1,23.4,9.3,5.2,14,22.4,114.5,40.8,88.7,29.5,57.1,11.2,31.6,18.3,24,9.9,35.8,45.7,24.9,8.2,5.1,16.7,22.5,111.1
