"Rk" "Season" "Tm" "Lg" "G" "W" "L" "W/L%" "MP" "FG" "FGA" "2P" "2PA" "3P" "3PA" "FT" "FTA" "ORB" "DRB" "TRB" "AST" "STL" "BLK" "TOV" "PF" "PTS"
"1" 101 "2015-16" "NYK" "NBA" 82 32 50 0.39 241.5 36.9 84 29.4 62.5 7.4 21.5 17.2 21.4 10.4 34 44.4 20.5 5.7 5.7 13.4 19.7 98.4
"2" 102 "2015-16" "NOP" "NBA" 82 30 52 0.366 241.2 38.5 85.9 29.9 62.1 8.6 23.8 17.3 22.2 9.5 33.1 42.6 22.2 7.7 4.2 13.4 20.9 102.7
"3" 103 "2015-16" "MIN" "NBA" 82 29 53 0.354 242.4 37.7 81.3 32.2 64.9 5.5 16.4 21.4 27 10 31.5 41.6 23.4 8 4.6 15 20.7 102.4
"4" 104 "2015-16" "MIL" "NBA" 82 33 49 0.402 241.8 38.4 82.2 33 66.6 5.4 15.6 17 22.7 10.5 31.2 41.7 23.1 8.2 5.8 15.2 20.7 99
"5" 105 "2015-16" "MIA*" "NBA" 82 48 34 0.585 241.8 38.4 81.7 32.3 63.6 6.1 18 17.1 23 9.8 34.3 44.1 20.8 6.7 6.5 14.1 18.3 100
"6" 106 "2015-16" "MEM*" "NBA" 82 42 40 0.512 241.8 36.8 83.6 30.7 65.1 6.1 18.5 19.3 24.7 11.2 30.5 41.6 20.7 8.8 4.3 13.3 21.7 99.1
"7" 107 "2015-16" "LAL" "NBA" 82 17 65 0.207 240.6 35.1 84.8 27.3 60.2 7.8 24.6 19.3 24.7 10.7 32.3 43 18 7.2 4.1 13.7 20.3 97.3
"8" 108 "2015-16" "LAC*" "NBA" 82 53 29 0.646 241.8 38.3 82.4 28.6 55.7 9.7 26.7 18.2 26.2 8.8 33.3 42 22.8 8.6 5.6 13 21.3 104.5
"9" 109 "2015-16" "IND*" "NBA" 82 45 37 0.549 242.4 38.3 85.2 30.2 62.1 8.1 23 17.4 22.8 10.3 33.9 44.2 21.2 9 4.8 14.9 20 102.2
"10" 110 "2015-16" "HOU*" "NBA" 82 41 41 0.5 241.8 37.7 83.5 27 52.6 10.7 30.9 20.4 29.4 11.3 31.7 43.1 22.2 10 5.2 15.9 21.8 106.5
"11" 111 "2015-16" "GSW*" "NBA" 82 73 9 0.89 242.4 42.5 87.3 29.4 55.7 13.1 31.6 16.7 21.8 10 36.2 46.2 28.9 8.4 6.1 15.2 20.7 114.9
"12" 112 "2015-16" "DET*" "NBA" 82 44 38 0.537 242.4 37.9 86.4 28.9 60.2 9 26.2 17.1 25.5 12.5 33.9 46.3 19.4 7 3.7 13.5 19 102
"13" 113 "2015-16" "DEN" "NBA" 82 33 49 0.402 241.8 37.7 85.4 29.7 61.7 8 23.7 18.5 24.1 11.5 33.1 44.6 22.7 7.4 4.8 14.7 21 101.9
"14" 114 "2015-16" "DAL*" "NBA" 82 42 40 0.512 244 37.4 84.1 27.5 55.6 9.8 28.6 17.7 22.3 9.2 33.9 43.1 22.1 6.8 3.7 12.8 19.5 102.3
"15" 115 "2015-16" "CLE*" "NBA" 82 57 25 0.695 242.1 38.7 84 27.9 54.4 10.7 29.6 16.3 21.7 10.6 33.9 44.5 22.7 6.7 3.9 13.6 20.3 104.3
"16" 116 "2015-16" "CHO*" "NBA" 82 48 34 0.585 242.1 37 84.4 26.4 55 10.6 29.4 18.7 23.7 9 35 43.9 21.7 7.3 5.3 12.6 18.1 103.4
